ì¸óÕÇP,ì¸óÕÇQ,ì¸óÕÇR,èoóÕÇP,èoóÕÇQ
0.302740954,0.272638418,0.512386853,1.087766225,0.543883112
0.855099429,0.675051715,0.216658905,1.74681005,0.873405025
0.33087327,0.341503475,0.827359247,1.499735992,0.749867996
0.038885438,0.584009979,0.407246185,1.030141602,0.515070801
0.454255627,0.355891078,0.883439208,1.693585912,0.846792956
0.389177863,0.190462279,0.766489929,1.346130071,0.673065035
0.334463266,0.786369687,0.536295805,1.657128758,0.828564379
0.337351855,0.908123328,0.047311231,1.292786415,0.646393207
0.210858112,0.91303883,0.035215247,1.159112189,0.579556094
0.417632226,0.258320256,0.907658068,1.58361055,0.791805275
0.967631418,0.153196139,0.692010613,1.81283817,0.906419085
0.821920613,0.117561413,0.236453845,1.17593587,0.587967935
0.34857325,0.048755378,0.400058813,0.797387441,0.39869372
0.380706353,0.694599412,0.75171165,1.827017415,0.913508708
0.756280332,0.802255918,0.120813228,1.679349478,0.839674739
0.368610576,0.188055943,0.012484186,0.569150705,0.284575353
0.001262499,0.573134215,0.099987749,0.674384464,0.337192232
0.837664472,0.797969421,0.142127344,1.777761237,0.888880618
0.663040351,0.130181292,0.764220882,1.557442525,0.778721262
0.132621738,0.980175805,0.020555288,1.133352831,0.566676415
0.949080034,0.307293685,0.746187659,2.002561378,1.001280689
0.197973323,0.779568053,0.699771771,1.677313147,0.838656574
0.746302396,0.076603832,0.607748539,1.430654767,0.715327384
0.303047281,0.385013034,0.727393925,1.415454239,0.70772712
0.818562941,0.462473439,0.727785835,2.008822216,1.004411108
0.451834066,0.107446315,0.616189297,1.175469678,0.587734839
0.99807075,0.517568303,0.810561774,2.326200827,1.163100413
0.278652908,0.952184887,0.612547835,1.84338563,0.921692815
0.541236833,0.519528611,0.029599823,1.090365267,0.545182634
0.323969186,0.517752145,0.168822512,1.010543842,0.505271921
0.23274738,0.486376757,0.161468459,0.880592596,0.440296298
0.372745575,0.773680974,0.940458144,2.086884692,1.043442346
0.457636593,0.842190154,0.712894169,2.012720916,1.006360458
0.821802409,0.67999874,0.90300264,2.404803788,1.202401894
0.758035734,0.120985142,0.075996648,0.955017524,0.477508762
0.655110138,0.715376798,0.261004671,1.631491608,0.815745804
0.346768971,0.169224924,0.654197466,1.170191361,0.58509568
0.731970256,0.527964177,0.929330313,2.189264746,1.094632373
0.52146579,0.19986595,0.986767912,1.708099651,0.854049826
0.988809609,0.80722485,0.561828556,2.357863015,1.178931507
0.531003364,0.190975969,0.01872185,0.740701182,0.370350591
0.540145456,0.394888828,0.420427782,1.355462065,0.677731033
0.397012055,0.082978478,0.924119167,1.404109699,0.70205485
0.568510571,0.642250486,0.946930774,2.157691831,1.078845915
0.036535095,0.652485971,0.421440986,1.110462052,0.555231026
0.537224806,0.946562597,0.835268091,2.319055494,1.159527747
0.860841958,0.223042447,0.84412432,1.928008725,0.964004362
0.900624367,0.213629861,0.68363072,1.797884948,0.898942474
0.434842356,0.888073557,0.991643303,2.314559216,1.157279608
0.066375745,0.548344013,0.439433569,1.054153328,0.527076664
0.158298595,0.845851259,0.632906317,1.637056171,0.818528085
0.773247525,0.050156813,0.351121034,1.174525372,0.587262686
0.02367188,0.250774057,0.519495274,0.793941211,0.396970606
0.537831247,0.185785701,0.090489855,0.814106803,0.407053402
0.178717475,0.64514951,0.215488015,1.039355001,0.5196775
0.482833097,0.629926102,0.540663957,1.653423156,0.826711578
0.438117512,0.853752227,0.641193265,1.933063004,0.966531502
0.356105348,0.556019783,0.076738298,0.988863428,0.494431714
0.323907348,0.63964791,0.477977159,1.441532417,0.720766209
0.64363666,0.66914931,0.661684476,1.974470446,0.987235223
0.796963126,0.509226144,0.346020774,1.652210044,0.826105022
0.026154242,0.544925252,0.251065261,0.822144755,0.411072378
0.924632426,0.502213855,0.941406413,2.368252694,1.184126347
0.838259305,0.90311048,0.446506063,2.187875847,1.093937924
0.636399196,0.788346655,0.144994261,1.569740113,0.784870056
0.022014467,0.743562818,0.257143394,1.022720679,0.51136034
0.476480191,0.155697442,0.560506422,1.192684054,0.596342027
0.778144709,0.934541752,0.155751636,1.868438098,0.934219049
0.455311143,0.100683716,0.608966079,1.164960937,0.582480469
0.104394672,0.687872096,0.428142154,1.220408923,0.610204461
0.89803764,0.215124745,0.892510233,2.005672619,1.002836309
0.070989765,0.744790781,0.027118726,0.842899272,0.421449636
0.913956195,0.139022814,0.809371084,1.862350093,0.931175047
0.78103148,0.72749501,0.807263441,2.315789931,1.157894966
0.319984609,0.851755896,0.807455184,1.979195689,0.989597845
0.080978685,0.091410217,0.375012863,0.547401766,0.273700883
0.583701755,0.617712063,0.827337324,2.028751142,1.014375571
0.382332138,0.458269031,0.296314016,1.136915185,0.568457593
0.512112018,0.011823204,0.690154567,1.214089789,0.607044894
0.037617746,0.264895985,0.046279337,0.348793069,0.174396534
0.157037859,0.885409918,0.357771503,1.40021928,0.70010964
0.705720334,0.652372713,0.709419305,2.067512353,1.033756176
0.664394947,0.120283085,0.831000224,1.615678257,0.807839128
0.163921146,0.460271455,0.460945752,1.085138353,0.542569176
0.389716777,0.746732031,0.866677516,2.003126324,1.001563162
0.54094695,0.316336597,0.879180014,1.73646356,0.86823178
0.510663763,0.159793866,0.697960688,1.368418316,0.684209158
0.934580497,0.581094462,0.290593383,1.806268341,0.903134171
0.103379938,0.897128015,0.197660502,1.198168456,0.599084228
0.217365135,0.693487523,0.947212103,1.858064761,0.92903238
0.286158514,0.882663183,0.035154101,1.203975797,0.601987899
0.165249486,0.425484381,0.412866682,1.003600549,0.501800275
0.199267438,0.427021994,0.907034941,1.533324373,0.766662187
0.042715895,0.824597724,0.412416826,1.279730445,0.639865223
0.454201896,0.623034696,0.587526007,1.664762599,0.8323813
0.878391501,0.714398744,0.343472488,1.936262733,0.968131366
0.221497689,0.956243447,0.08480253,1.262543665,0.631271833
0.240063533,0.57177296,0.766149705,1.577986197,0.788993099
0.876062042,0.243429329,0.331305049,1.45079642,0.72539821
0.463548111,0.639254809,0.892278984,1.995081904,0.997540952
0.821359323,0.189032421,0.255926506,1.26631825,0.633159125
0.757826797,0.820643423,0.789541269,2.368011488,1.184005744
0.163496874,0.553078951,0.995939974,1.712515799,0.8562579
0.330662604,0.999237479,0.392933501,1.722833584,0.861416792
0.887886191,0.342288137,0.970657637,2.200831964,1.100415982
0.162187544,0.26125917,0.647407252,1.070853966,0.535426983
0.186615101,0.420496784,0.670591268,1.277703153,0.638851576
0.544771945,0.776258677,0.787265462,2.108296084,1.054148042
0.621877296,0.847270988,0.018777825,1.487926109,0.743963054
0.045596976,0.683070196,0.430054217,1.158721389,0.579360694
0.727743281,0.482406462,0.371446282,1.581596025,0.790798012
0.666357721,0.134955413,0.139039407,0.940352542,0.470176271
0.080317188,0.019179255,0.095143742,0.194640185,0.097320093
0.512684445,0.411411989,0.217289976,1.141386411,0.570693205
0.134152094,0.844915699,0.860952172,1.840019965,0.920009982
0.999947193,0.935685911,0.987482758,2.923115862,1.461557931
0.538306653,0.849740867,0.258690481,1.646738001,0.823369001
0.869966936,0.907534681,0.534553979,2.312055597,1.156027798
0.746778188,0.879074752,0.679783052,2.305635992,1.152817996
0.010704446,0.171892886,0.589191744,0.771789076,0.385894538
0.254854553,0.777500383,0.454169881,1.486524817,0.743262409
0.992204668,0.542690454,0.183310441,1.718205563,0.859102782
0.260000968,0.5238815,0.073163966,0.857046434,0.428523217
0.818437537,0.920422722,0.578141476,2.317001735,1.158500867
0.814107865,0.364987746,0.376718259,1.55581387,0.777906935
0.975128312,0.131009285,0.604084754,1.710222351,0.855111176
0.677689611,0.332944396,0.400888835,1.411522842,0.705761421
0.277462967,0.320123776,0.908630444,1.506217186,0.753108593
0.701311345,0.085384948,0.519415211,1.306111504,0.653055752
0.131028569,0.863063373,0.221370621,1.215462564,0.607731282
0.408884377,0.543475982,0.040921519,0.993281878,0.496640939
0.246786558,0.774389704,0.301681574,1.322857836,0.661428918
0.611828233,0.169124121,0.526715755,1.307668109,0.653834054
0.813307838,0.058040756,0.872113533,1.743462127,0.871731063
0.404024414,0.101946105,0.615412176,1.121382695,0.560691347
0.487882388,0.261659079,0.455806051,1.205347518,0.602673759
0.655732337,0.161201315,0.993933623,1.810867275,0.905433638
0.490518192,0.50824691,0.925930752,1.924695854,0.962347927
0.557013492,0.246906798,0.56282931,1.366749599,0.6833748
0.969303401,0.564397911,0.41643128,1.950132592,0.975066296
0.075603188,0.347420112,0.88151467,1.304537971,0.652268985
0.451255661,0.5632837,0.50406913,1.518608492,0.759304246
0.0098066,0.358437359,0.963212157,1.331456116,0.665728058
0.135612033,0.163551502,0.875344591,1.174508126,0.587254063
0.594833931,0.112312009,0.479482421,1.186628361,0.593314181
0.798196874,0.68029376,0.045116678,1.523607312,0.761803656
0.960961936,0.588491293,0.691659746,2.241112975,1.120556487
0.705408298,0.724229995,0.934383498,2.364021791,1.182010896
0.334767436,0.818947686,0.906379008,2.060094129,1.030047064
0.069580356,0.339275739,0.918955227,1.327811322,0.663905661
0.337443674,0.342657812,0.635596907,1.315698394,0.657849197
0.534966813,0.849929801,0.880243557,2.265140172,1.132570086
0.098318621,0.649293079,0.951410311,1.699022011,0.849511005
0.425956635,0.747737392,0.821028074,1.9947221,0.99736105
0.142935763,0.273268046,0.724130641,1.14033445,0.570167225
0.828782049,0.602806421,0.45527112,1.88685959,0.943429795
0.880738343,0.643231813,0.28221629,1.806186446,0.903093223
0.210145648,0.169561363,0.640420148,1.02012716,0.51006358
0.393468873,0.752124492,0.006362537,1.151955902,0.575977951
0.615926082,0.914067825,0.92667171,2.456665617,1.228332808
0.160291766,0.397250848,0.221931066,0.779473681,0.38973684
0.812239814,0.238817555,0.278549561,1.329606929,0.664803465
0.593526574,0.346969268,0.907883898,1.84837974,0.92418987
0.795210505,0.38355009,0.998323733,2.177084328,1.088542164
0.764733082,0.594719164,0.235929817,1.595382063,0.797691031
0.356641219,0.451864277,0.078761714,0.88726721,0.443633605
0.271118868,0.875431057,0.909835296,2.056385221,1.02819261
